Bill Name,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12
BDPaaS Compute,"$4,230.00","$4,516.70","$5,088.34","$5,088.34","$5,088.34","$5,088.34","$5,088.34","$5,088.34","$5,088.34","$5,088.34","$4,924.20","$5,088.34","$5,088.34","$5,088.34"
BDPaaS Storage,"$1,651.99","$1,707.06","$2,078.16","$2,078.16","$2,078.16","$2,078.16","$2,078.16","$2,078.16","$2,078.16","$2,220.94","$2,175.87","$2,248.40","$2,535.06","$2,535.06"
Compute - UBUNTU,,,,,,,,,,,,,,
DBaaS MS SQL  - SQL 2019,$36.05,$36.05,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86,$39.86
ECE Elastic,"$5,612.55","$5,612.55","$9,179.15","$9,179.15","$9,179.15","$9,179.15","$9,179.15","$10,043.07","$10,043.07","$10,043.07","$10,043.07","$10,043.07","$10,043.07","$10,043.07"
EOL - RedHat LINUX 6 - ODI,,,,,,,,,,,,,,
EOL - RedHat LINUX 7 - ODI,,,"$2,523.65","$1,428.77","$1,245.44","$1,331.46","$1,278.46","$1,333.25","$1,247.23","$1,333.25",$952.32,$884.48,,
Github Enterprise Cloud,$0.04,,,,,,$14.94,$7.40,$7.55,$21.27,$17.62,$15.61,$31.99,$69.38
HCC Kubernetes_UoM 2023,$651.44,$624.17,$887.89,"$1,478.11","$2,054.27","$1,896.02","$1,771.51","$1,712.31","$1,638.57","$1,981.20","$3,077.28","$2,870.58","$1,676.31","$1,370.94"
MySQL 8 – ODI_CPU,$501.31,$18.72,$28.27,$28.04,,,,,,,,,,
MySQL 8.0_CPU,,,,,,,,,,,,,,
NAS Nearstore,"$1,465.30","$1,484.73","$1,088.44","$1,104.86","$1,066.46","$1,014.75",$978.77,$989.64,"$1,061.22","$1,001.69",$953.40,"$1,033.39","$1,052.24","$1,031.10"
ODI CPU,"$2,965.91","$2,116.80","$3,333.12","$1,794.24","$1,467.84","$1,569.22","$1,506.56","$1,571.33","$1,429.38","$1,476.10","$1,095.17","$1,019.01",$137.98,$138.24
OpenShift Enterprise,,,,,,,,,,,,,,
datum  Functions Platform,,,,,,,,,,,,,,
OSFI - Kubernetes,,,,,,,,,,,,,,
OSFI - Origins,,,,,,,,,,,,,,
Public Cloud - GCP Usage,,,,,,,,,,,,,,$5.78
RedHat LINUX 6 - ODI,,,,,,,,,,,,,,
RedHat LINUX 7,,,,,,,,,,,,,,
RedHat LINUX 7 - ODI,"$18,382.54","$18,301.14","$7,800.75","$2,578.20","$1,631.60","$1,739.12","$1,672.87","$1,741.36","$1,633.84","$1,741.36","$1,243.84","$1,159.04",,
RedHat LINUX 8 - ODI,"$1,171.82",$400.51,$428.78,$454.24,$436.36,$456.52,$445.22,$456.94,$478.67,$423.81,$356.27,$406.37,$347.47,$348.11
Search Analytics ,$6.70,$16.75,$19.26,$19.26,$12.84,$32.10,$19.26,$19.26,$12.84,$12.84,$12.84,$12.84,$12.84,$12.84
Shared Storage,,,,,,,,,,,,,,
SQL 2016 UCI_CPU,,,,,,,,,,,,,,
Standard Performance NAS,,,"$5,846.44","$5,853.84","$6,170.56","$6,170.56","$6,295.62","$5,896.02","$5,896.02","$5,859.02","$6,155.02","$6,021.08","$5,283.30","$5,320.30"
Standard Performance Storage,"$7,648.60","$7,663.60",,,,,,,,,,,,
Storage - Object,"$9,002.05","$8,470.15","$6,232.28","$6,984.80","$5,833.05","$6,446.64","$6,038.73","$6,494.72","$6,319.38","$7,535.30","$8,122.64","$7,888.75","$7,898.70","$8,014.76"
TSM,$6.58,$6.58,$4.37,$0.65,$0.65,,,,,$1.07,,,$0.54,
