TABLE_NAME,COLUMN_NAME,DATA_TYPE
Address,AddressID,int
Address,AddressLine1,nvarchar
Address,AddressLine2,nvarchar
Address,City,nvarchar
Address,StateProvince,nvarchar
Address,CountryRegion,nvarchar
Address,PostalCode,nvarchar
Address,rowguid,uniqueidentifier
Address,ModifiedDate,datetime
BuildVersion,SystemInformationID,tinyint
BuildVersion,Database Version,nvarchar
BuildVersion,VersionDate,datetime
BuildVersion,ModifiedDate,datetime
Customer,CustomerID,int
Customer,NameStyle,bit
Customer,Title,nvarchar
Customer,FirstName,nvarchar
Customer,MiddleName,nvarchar
Customer,LastName,nvarchar
Customer,Suffix,nvarchar
Customer,CompanyName,nvarchar
Customer,SalesPerson,nvarchar
Customer,EmailAddress,nvarchar
Customer,Phone,nvarchar
Customer,PasswordHash,varchar
Customer,PasswordSalt,varchar
Customer,rowguid,uniqueidentifier
Customer,ModifiedDate,datetime
CustomerAddress,CustomerID,int
CustomerAddress,AddressID,int
CustomerAddress,AddressType,nvarchar
CustomerAddress,rowguid,uniqueidentifier
CustomerAddress,ModifiedDate,datetime
ErrorLog,ErrorLogID,int
ErrorLog,ErrorTime,datetime
ErrorLog,UserName,nvarchar
ErrorLog,ErrorNumber,int
ErrorLog,ErrorSeverity,int
ErrorLog,ErrorState,int
ErrorLog,ErrorProcedure,nvarchar
ErrorLog,ErrorLine,int
ErrorLog,ErrorMessage,nvarchar
Product,ProductID,int
Product,Name,nvarchar
Product,ProductNumber,nvarchar
Product,Color,nvarchar
Product,StandardCost,money
Product,ListPrice,money
Product,Size,nvarchar
Product,Weight,decimal
Product,ProductCategoryID,int
Product,ProductModelID,int
Product,SellStartDate,datetime
Product,SellEndDate,datetime
Product,DiscontinuedDate,datetime
Product,ThumbNailPhoto,varbinary
Product,ThumbnailPhotoFileName,nvarchar
Product,rowguid,uniqueidentifier
Product,ModifiedDate,datetime
ProductCategory,ProductCategoryID,int
ProductCategory,ParentProductCategoryID,int
ProductCategory,Name,nvarchar
ProductCategory,rowguid,uniqueidentifier
ProductCategory,ModifiedDate,datetime
ProductDescription,ProductDescriptionID,int
ProductDescription,Description,nvarchar
ProductDescription,rowguid,uniqueidentifier
ProductDescription,ModifiedDate,datetime
ProductModel,ProductModelID,int
ProductModel,Name,nvarchar
ProductModel,CatalogDescription,xml
ProductModel,rowguid,uniqueidentifier
ProductModel,ModifiedDate,datetime
ProductModelProductDescription,ProductModelID,int
ProductModelProductDescription,ProductDescriptionID,int
ProductModelProductDescription,Culture,nchar
ProductModelProductDescription,rowguid,uniqueidentifier
ProductModelProductDescription,ModifiedDate,datetime
SalesOrderDetail,SalesOrderID,int
SalesOrderDetail,SalesOrderDetailID,int
SalesOrderDetail,OrderQty,smallint
SalesOrderDetail,ProductID,int
SalesOrderDetail,UnitPrice,money
SalesOrderDetail,UnitPriceDiscount,money
SalesOrderDetail,LineTotal,numeric
SalesOrderDetail,rowguid,uniqueidentifier
SalesOrderDetail,ModifiedDate,datetime
SalesOrderHeader,SalesOrderID,int
SalesOrderHeader,RevisionNumber,tinyint
SalesOrderHeader,OrderDate,datetime
SalesOrderHeader,DueDate,datetime
SalesOrderHeader,ShipDate,datetime
SalesOrderHeader,Status,tinyint
SalesOrderHeader,OnlineOrderFlag,bit
SalesOrderHeader,SalesOrderNumber,nvarchar
SalesOrderHeader,PurchaseOrderNumber,nvarchar
SalesOrderHeader,AccountNumber,nvarchar
SalesOrderHeader,CustomerID,int
SalesOrderHeader,ShipToAddressID,int
SalesOrderHeader,BillToAddressID,int
SalesOrderHeader,ShipMethod,nvarchar
SalesOrderHeader,CreditCardApprovalCode,varchar
SalesOrderHeader,SubTotal,money
SalesOrderHeader,TaxAmt,money
SalesOrderHeader,Freight,money
SalesOrderHeader,TotalDue,money
SalesOrderHeader,Comment,nvarchar
SalesOrderHeader,rowguid,uniqueidentifier
SalesOrderHeader,ModifiedDate,datetime
vGetAllCategories,ParentProductCategoryName,nvarchar
vGetAllCategories,ProductCategoryName,nvarchar
vGetAllCategories,ProductCategoryID,int
vProductAndDescription,ProductID,int
vProductAndDescription,Name,nvarchar
vProductAndDescription,ProductModel,nvarchar
vProductAndDescription,Culture,nchar
vProductAndDescription,Description,nvarchar
vProductModelCatalogDescription,ProductModelID,int
vProductModelCatalogDescription,Name,nvarchar
vProductModelCatalogDescription,Summary,nvarchar
vProductModelCatalogDescription,Manufacturer,nvarchar
vProductModelCatalogDescription,Copyright,nvarchar
vProductModelCatalogDescription,ProductURL,nvarchar
vProductModelCatalogDescription,WarrantyPeriod,nvarchar
vProductModelCatalogDescription,WarrantyDescription,nvarchar
vProductModelCatalogDescription,NoOfYears,nvarchar
vProductModelCatalogDescription,MaintenanceDescription,nvarchar
vProductModelCatalogDescription,Wheel,nvarchar
vProductModelCatalogDescription,Saddle,nvarchar
vProductModelCatalogDescription,Pedal,nvarchar
vProductModelCatalogDescription,BikeFrame,nvarchar
vProductModelCatalogDescription,Crankset,nvarchar
vProductModelCatalogDescription,PictureAngle,nvarchar
vProductModelCatalogDescription,PictureSize,nvarchar
vProductModelCatalogDescription,ProductPhotoID,nvarchar
vProductModelCatalogDescription,Material,nvarchar
vProductModelCatalogDescription,Color,nvarchar
vProductModelCatalogDescription,ProductLine,nvarchar
vProductModelCatalogDescription,Style,nvarchar
vProductModelCatalogDescription,RiderExperience,nvarchar
vProductModelCatalogDescription,rowguid,uniqueidentifier
vProductModelCatalogDescription,ModifiedDate,datetime
